"COUNTY","YEAR","WATER_SYSTEM_NUMBER","VIOLATION_TYPE_NAME","REGULATING_AGENCY","VIOL_MONTH","WaterSystemName","FederalWaterSystemType","StateWaterSystemType","WaterSystemStatus","OwnerType","PrimaryWaterSourceType","ResidentialPopulation","NonTransientPopulation","TransientPopulation","TotalPopulation","SC_Agricultural","SC_Combined","SC_Commercial","SC_Institutional","SC_Residential","SC_Total","FeeCodeDescription","SNSVVisitDate","CITY","TreatmentPlantClass","DistributionSystemClass","Kids","Teen","Senior","Adult1","Adult2"
"KERN",2013,"CA1502231","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",4,"ROSAMOND SCHOOL WATER SYSTEM","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Surface Water Purchased",NA,940,0,940,NA,0,2,0,0,2,"NonTransient-NonCommunity Water System","2/1/2018","ROSAMOND","Treatment Operator Level 1","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502231","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",7,"ROSAMOND SCHOOL WATER SYSTEM","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Surface Water Purchased",NA,940,0,940,NA,0,2,0,0,2,"NonTransient-NonCommunity Water System","2/1/2018","ROSAMOND","Treatment Operator Level 1","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502231","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",7,"ROSAMOND SCHOOL WATER SYSTEM","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Surface Water Purchased",NA,940,0,940,NA,0,2,0,0,2,"NonTransient-NonCommunity Water System","2/1/2018","ROSAMOND","Treatment Operator Level 1","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502231","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",10,"ROSAMOND SCHOOL WATER SYSTEM","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Surface Water Purchased",NA,940,0,940,NA,0,2,0,0,2,"NonTransient-NonCommunity Water System","2/1/2018","ROSAMOND","Treatment Operator Level 1","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502231","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",10,"ROSAMOND SCHOOL WATER SYSTEM","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Surface Water Purchased",NA,940,0,940,NA,0,2,0,0,2,"NonTransient-NonCommunity Water System","2/1/2018","ROSAMOND","Treatment Operator Level 1","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502383","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"NORD ROAD WATER ASSOCIATION","Community","Community","ACTIVE","Private","Groundwater",32,0,0,32,NA,NA,0,0,16,16,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502383","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"NORD ROAD WATER ASSOCIATION","Community","Community","ACTIVE","Private","Groundwater",32,0,0,32,NA,NA,0,0,16,16,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502383","MCL,  AVERAGE","DISTRICT 12 - VISALIA",4,"NORD ROAD WATER ASSOCIATION","Community","Community","ACTIVE","Private","Groundwater",32,0,0,32,NA,NA,0,0,16,16,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502383","MCL,  AVERAGE","DISTRICT 12 - VISALIA",4,"NORD ROAD WATER ASSOCIATION","Community","Community","ACTIVE","Private","Groundwater",32,0,0,32,NA,NA,0,0,16,16,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502383","MCL,  AVERAGE","DISTRICT 12 - VISALIA",7,"NORD ROAD WATER ASSOCIATION","Community","Community","ACTIVE","Private","Groundwater",32,0,0,32,NA,NA,0,0,16,16,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502383","MCL,  AVERAGE","DISTRICT 12 - VISALIA",7,"NORD ROAD WATER ASSOCIATION","Community","Community","ACTIVE","Private","Groundwater",32,0,0,32,NA,NA,0,0,16,16,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502383","MCL,  AVERAGE","DISTRICT 12 - VISALIA",10,"NORD ROAD WATER ASSOCIATION","Community","Community","ACTIVE","Private","Groundwater",32,0,0,32,NA,NA,0,0,16,16,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502383","MCL,  AVERAGE","DISTRICT 12 - VISALIA",10,"NORD ROAD WATER ASSOCIATION","Community","Community","ACTIVE","Private","Groundwater",32,0,0,32,NA,NA,0,0,16,16,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502569","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",1,"FIRST MUTUAL WATER SYSTEM","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,0,0,0,15,15,"Small Community","12/17/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502569","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",1,"FIRST MUTUAL WATER SYSTEM","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,0,0,0,15,15,"Small Community","12/17/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502569","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",4,"FIRST MUTUAL WATER SYSTEM","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,0,0,0,15,15,"Small Community","12/17/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502569","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",4,"FIRST MUTUAL WATER SYSTEM","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,0,0,0,15,15,"Small Community","12/17/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502569","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",7,"FIRST MUTUAL WATER SYSTEM","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,0,0,0,15,15,"Small Community","12/17/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502569","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",7,"FIRST MUTUAL WATER SYSTEM","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,0,0,0,15,15,"Small Community","12/17/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502569","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",10,"FIRST MUTUAL WATER SYSTEM","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,0,0,0,15,15,"Small Community","12/17/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502569","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",10,"FIRST MUTUAL WATER SYSTEM","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,0,0,0,15,15,"Small Community","12/17/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502699","MCL, SINGLE SAMPLE","DISTRICT 12 - VISALIA",1,"EAST WILSON ROAD WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,14,0,0,0,14,"Small Community","4/25/2018","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502699","MCL, SINGLE SAMPLE","DISTRICT 12 - VISALIA",4,"EAST WILSON ROAD WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,14,0,0,0,14,"Small Community","4/25/2018","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502699","MCL, SINGLE SAMPLE","DISTRICT 12 - VISALIA",7,"EAST WILSON ROAD WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,14,0,0,0,14,"Small Community","4/25/2018","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1502699","MCL, SINGLE SAMPLE","DISTRICT 12 - VISALIA",10,"EAST WILSON ROAD WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",35,0,0,35,NA,14,0,0,0,14,"Small Community","4/25/2018","BAKERSFIELD","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510001","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"ARVIN COMMUNITY SERVICES DIST","Community","Community","ACTIVE","Local","Groundwater",20499,0,0,20499,NA,3776,0,0,0,3776,"Disadvantaged Large Community Water System","10/15/2015","ARVIN","Treatment Operator Level 2","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510001","MCL,  AVERAGE","DISTRICT 12 - VISALIA",4,"ARVIN COMMUNITY SERVICES DIST","Community","Community","ACTIVE","Local","Groundwater",20499,0,0,20499,NA,3776,0,0,0,3776,"Disadvantaged Large Community Water System","10/15/2015","ARVIN","Treatment Operator Level 2","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510001","MCL,  AVERAGE","DISTRICT 12 - VISALIA",7,"ARVIN COMMUNITY SERVICES DIST","Community","Community","ACTIVE","Local","Groundwater",20499,0,0,20499,NA,3776,0,0,0,3776,"Disadvantaged Large Community Water System","10/15/2015","ARVIN","Treatment Operator Level 2","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510001","MCL,  AVERAGE","DISTRICT 12 - VISALIA",10,"ARVIN COMMUNITY SERVICES DIST","Community","Community","ACTIVE","Local","Groundwater",20499,0,0,20499,NA,3776,0,0,0,3776,"Disadvantaged Large Community Water System","10/15/2015","ARVIN","Treatment Operator Level 2","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510012","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"LAMONT PUBLIC UTILITY DIST","Community","Community","ACTIVE","Local","Groundwater",19057,0,0,19057,NA,3300,0,0,0,3300,"Disadvantaged Large Community Water System","10/12/2015","LAMONT","#N/A","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510012","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"LAMONT PUBLIC UTILITY DIST","Community","Community","ACTIVE","Local","Groundwater",19057,0,0,19057,NA,3300,0,0,0,3300,"Disadvantaged Large Community Water System","10/12/2015","LAMONT","#N/A","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510012","MCL,  AVERAGE","DISTRICT 12 - VISALIA",4,"LAMONT PUBLIC UTILITY DIST","Community","Community","ACTIVE","Local","Groundwater",19057,0,0,19057,NA,3300,0,0,0,3300,"Disadvantaged Large Community Water System","10/12/2015","LAMONT","#N/A","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510012","MCL,  AVERAGE","DISTRICT 12 - VISALIA",4,"LAMONT PUBLIC UTILITY DIST","Community","Community","ACTIVE","Local","Groundwater",19057,0,0,19057,NA,3300,0,0,0,3300,"Disadvantaged Large Community Water System","10/12/2015","LAMONT","#N/A","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510012","MCL,  AVERAGE","DISTRICT 12 - VISALIA",7,"LAMONT PUBLIC UTILITY DIST","Community","Community","ACTIVE","Local","Groundwater",19057,0,0,19057,NA,3300,0,0,0,3300,"Disadvantaged Large Community Water System","10/12/2015","LAMONT","#N/A","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510012","MCL,  AVERAGE","DISTRICT 12 - VISALIA",7,"LAMONT PUBLIC UTILITY DIST","Community","Community","ACTIVE","Local","Groundwater",19057,0,0,19057,NA,3300,0,0,0,3300,"Disadvantaged Large Community Water System","10/12/2015","LAMONT","#N/A","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510012","MCL,  AVERAGE","DISTRICT 12 - VISALIA",10,"LAMONT PUBLIC UTILITY DIST","Community","Community","ACTIVE","Local","Groundwater",19057,0,0,19057,NA,3300,0,0,0,3300,"Disadvantaged Large Community Water System","10/12/2015","LAMONT","#N/A","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510012","MCL,  AVERAGE","DISTRICT 12 - VISALIA",10,"LAMONT PUBLIC UTILITY DIST","Community","Community","ACTIVE","Local","Groundwater",19057,0,0,19057,NA,3300,0,0,0,3300,"Disadvantaged Large Community Water System","10/12/2015","LAMONT","#N/A","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510013","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"MCFARLAND, CITY OF","Community","Community","ACTIVE","Local","Groundwater",14658,0,0,14658,NA,2804,0,0,0,2804,"Large Water System","11/17/2017","MCFARLAND","Treatment Operator Level 2","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510013","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"MCFARLAND, CITY OF","Community","Community","ACTIVE","Local","Groundwater",14658,0,0,14658,NA,2804,0,0,0,2804,"Large Water System","11/17/2017","MCFARLAND","Treatment Operator Level 2","Distribution Operator Level 3",158873,144036,50388,131893,383404
"KERN",2013,"CA1510016","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",1,"RAND COMMUNITIES WATER DISTRICT","Community","Community","ACTIVE","Local","Groundwater",450,0,0,450,1,0,3,1,245,250,"Disadvantaged Small Community Water System","12/2/2015","JOHANESBURG","Treatment or distribution operator of any grade","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510016","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",1,"RAND COMMUNITIES WATER DISTRICT","Community","Community","ACTIVE","Local","Groundwater",450,0,0,450,1,0,3,1,245,250,"Disadvantaged Small Community Water System","12/2/2015","JOHANESBURG","Treatment or distribution operator of any grade","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510016","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",4,"RAND COMMUNITIES WATER DISTRICT","Community","Community","ACTIVE","Local","Groundwater",450,0,0,450,1,0,3,1,245,250,"Disadvantaged Small Community Water System","12/2/2015","JOHANESBURG","Treatment or distribution operator of any grade","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510016","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",4,"RAND COMMUNITIES WATER DISTRICT","Community","Community","ACTIVE","Local","Groundwater",450,0,0,450,1,0,3,1,245,250,"Disadvantaged Small Community Water System","12/2/2015","JOHANESBURG","Treatment or distribution operator of any grade","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510016","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",7,"RAND COMMUNITIES WATER DISTRICT","Community","Community","ACTIVE","Local","Groundwater",450,0,0,450,1,0,3,1,245,250,"Disadvantaged Small Community Water System","12/2/2015","JOHANESBURG","Treatment or distribution operator of any grade","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510016","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",7,"RAND COMMUNITIES WATER DISTRICT","Community","Community","ACTIVE","Local","Groundwater",450,0,0,450,1,0,3,1,245,250,"Disadvantaged Small Community Water System","12/2/2015","JOHANESBURG","Treatment or distribution operator of any grade","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510016","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",10,"RAND COMMUNITIES WATER DISTRICT","Community","Community","ACTIVE","Local","Groundwater",450,0,0,450,1,0,3,1,245,250,"Disadvantaged Small Community Water System","12/2/2015","JOHANESBURG","Treatment or distribution operator of any grade","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510016","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",10,"RAND COMMUNITIES WATER DISTRICT","Community","Community","ACTIVE","Local","Groundwater",450,0,0,450,1,0,3,1,245,250,"Disadvantaged Small Community Water System","12/2/2015","JOHANESBURG","Treatment or distribution operator of any grade","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510024","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"GREENFIELD COUNTY WD","Community","Community","ACTIVE","Local","Groundwater",9900,0,0,9900,NA,3021,0,0,0,3021,"Disadvantaged Large Community Water System","1/10/2017","BAKERSFIELD","#N/A","Distribution Operator Level 2",158873,144036,50388,131893,383404
"KERN",2013,"CA1510024","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"GREENFIELD COUNTY WD","Community","Community","ACTIVE","Local","Groundwater",9900,0,0,9900,NA,3021,0,0,0,3021,"Disadvantaged Large Community Water System","1/10/2017","BAKERSFIELD","#N/A","Distribution Operator Level 2",158873,144036,50388,131893,383404
"KERN",2013,"CA1510024","MCL,  AVERAGE","DISTRICT 12 - VISALIA",4,"GREENFIELD COUNTY WD","Community","Community","ACTIVE","Local","Groundwater",9900,0,0,9900,NA,3021,0,0,0,3021,"Disadvantaged Large Community Water System","1/10/2017","BAKERSFIELD","#N/A","Distribution Operator Level 2",158873,144036,50388,131893,383404
"KERN",2013,"CA1510024","MCL,  AVERAGE","DISTRICT 12 - VISALIA",4,"GREENFIELD COUNTY WD","Community","Community","ACTIVE","Local","Groundwater",9900,0,0,9900,NA,3021,0,0,0,3021,"Disadvantaged Large Community Water System","1/10/2017","BAKERSFIELD","#N/A","Distribution Operator Level 2",158873,144036,50388,131893,383404
"KERN",2013,"CA1510024","MCL,  AVERAGE","DISTRICT 12 - VISALIA",7,"GREENFIELD COUNTY WD","Community","Community","ACTIVE","Local","Groundwater",9900,0,0,9900,NA,3021,0,0,0,3021,"Disadvantaged Large Community Water System","1/10/2017","BAKERSFIELD","#N/A","Distribution Operator Level 2",158873,144036,50388,131893,383404
"KERN",2013,"CA1510024","MCL,  AVERAGE","DISTRICT 12 - VISALIA",7,"GREENFIELD COUNTY WD","Community","Community","ACTIVE","Local","Groundwater",9900,0,0,9900,NA,3021,0,0,0,3021,"Disadvantaged Large Community Water System","1/10/2017","BAKERSFIELD","#N/A","Distribution Operator Level 2",158873,144036,50388,131893,383404
"KERN",2013,"CA1510024","MCL,  AVERAGE","DISTRICT 12 - VISALIA",10,"GREENFIELD COUNTY WD","Community","Community","ACTIVE","Local","Groundwater",9900,0,0,9900,NA,3021,0,0,0,3021,"Disadvantaged Large Community Water System","1/10/2017","BAKERSFIELD","#N/A","Distribution Operator Level 2",158873,144036,50388,131893,383404
"KERN",2013,"CA1510024","MCL,  AVERAGE","DISTRICT 12 - VISALIA",10,"GREENFIELD COUNTY WD","Community","Community","ACTIVE","Local","Groundwater",9900,0,0,9900,NA,3021,0,0,0,3021,"Disadvantaged Large Community Water System","1/10/2017","BAKERSFIELD","#N/A","Distribution Operator Level 2",158873,144036,50388,131893,383404
"KERN",2013,"CA1510052","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",1,"NORTH EDWARDS WD","Community","Community","ACTIVE","Local","Groundwater",600,0,0,600,1,0,0,0,227,228,"Small Community","10/28/2015","NORTH EDWARDS","Treatment or distribution operator of any grade","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510052","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",4,"NORTH EDWARDS WD","Community","Community","ACTIVE","Local","Groundwater",600,0,0,600,1,0,0,0,227,228,"Small Community","10/28/2015","NORTH EDWARDS","Treatment or distribution operator of any grade","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510052","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",7,"NORTH EDWARDS WD","Community","Community","ACTIVE","Local","Groundwater",600,0,0,600,1,0,0,0,227,228,"Small Community","10/28/2015","NORTH EDWARDS","Treatment or distribution operator of any grade","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510054","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",10,"PINON PINES MWC","Community","Community","ACTIVE","Private","Groundwater",644,0,0,644,9,0,0,0,264,273,"Small Community","12/22/2015","FRAZIER PARK","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2013,"CA1510054","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",10,"PINON PINES MWC","Community","Community","ACTIVE","Private","Groundwater",644,0,0,644,9,0,0,0,264,273,"Small Community","12/22/2015","FRAZIER PARK","#N/A","Distribution Operator Level 1",158873,144036,50388,131893,383404
"KERN",2014,"CA1500096","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"OLD RIVER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",48,0,0,48,NA,14,0,0,0,14,"Small Community","7/22/2015","OLD RIVER","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500096","MCL,  AVERAGE","DISTRICT 12 - VISALIA",4,"OLD RIVER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",48,0,0,48,NA,14,0,0,0,14,"Small Community","7/22/2015","OLD RIVER","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500096","MCL,  AVERAGE","DISTRICT 12 - VISALIA",7,"OLD RIVER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",48,0,0,48,NA,14,0,0,0,14,"Small Community","7/22/2015","OLD RIVER","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500096","MCL,  AVERAGE","DISTRICT 12 - VISALIA",10,"OLD RIVER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",48,0,0,48,NA,14,0,0,0,14,"Small Community","7/22/2015","OLD RIVER","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500378","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"MAHER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",150,0,0,150,NA,NA,0,0,50,50,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500378","MCL,  AVERAGE","DISTRICT 12 - VISALIA",1,"MAHER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",150,0,0,150,NA,NA,0,0,50,50,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500378","MCL,  AVERAGE","DISTRICT 12 - VISALIA",4,"MAHER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",150,0,0,150,NA,NA,0,0,50,50,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500378","MCL,  AVERAGE","DISTRICT 12 - VISALIA",4,"MAHER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",150,0,0,150,NA,NA,0,0,50,50,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500378","MCL,  AVERAGE","DISTRICT 12 - VISALIA",7,"MAHER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",150,0,0,150,NA,NA,0,0,50,50,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500378","MCL,  AVERAGE","DISTRICT 12 - VISALIA",7,"MAHER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",150,0,0,150,NA,NA,0,0,50,50,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500378","MCL,  AVERAGE","DISTRICT 12 - VISALIA",10,"MAHER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",150,0,0,150,NA,NA,0,0,50,50,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500378","MCL,  AVERAGE","DISTRICT 12 - VISALIA",10,"MAHER MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",150,0,0,150,NA,NA,0,0,50,50,"Small Community","9/30/2015","BAKERSFIELD","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500393","MCL, SINGLE SAMPLE","DISTRICT 19 - TEHACHAPI",4,"RAINBIRD VALLEY MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",238,0,0,238,NA,0,0,0,85,85,"Small Community","6/20/2018","WELDON","Treatment or distribution operator of any grade","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500393","MCL, SINGLE SAMPLE","DISTRICT 19 - TEHACHAPI",7,"RAINBIRD VALLEY MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",238,0,0,238,NA,0,0,0,85,85,"Small Community","6/20/2018","WELDON","Treatment or distribution operator of any grade","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500393","MCL, SINGLE SAMPLE","DISTRICT 19 - TEHACHAPI",10,"RAINBIRD VALLEY MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",238,0,0,238,NA,0,0,0,85,85,"Small Community","6/20/2018","WELDON","Treatment or distribution operator of any grade","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500424","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",1,"LANDS OF PROMISE MWC","Community","Community","ACTIVE","Private","Groundwater",190,0,0,190,NA,0,0,0,65,65,"Small Community","11/13/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500424","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",1,"LANDS OF PROMISE MWC","Community","Community","ACTIVE","Private","Groundwater",190,0,0,190,NA,0,0,0,65,65,"Small Community","11/13/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500424","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",4,"LANDS OF PROMISE MWC","Community","Community","ACTIVE","Private","Groundwater",190,0,0,190,NA,0,0,0,65,65,"Small Community","11/13/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
"KERN",2014,"CA1500424","MCL,  AVERAGE","DISTRICT 19 - TEHACHAPI",4,"LANDS OF PROMISE MWC","Community","Community","ACTIVE","Private","Groundwater",190,0,0,190,NA,0,0,0,65,65,"Small Community","11/13/2015","ROSAMOND","#N/A","Distribution Operator Level 1",158609,142929,52234,134850,388046
